region_code,sgg_name,sido,RAI,Econ,Demo,Infra,Serv,net_rate,Rank
28177,미추홀구,인천광역시,0.3510290609940315,-0.054966684962241164,0.8027656562770901,0.7411586998964423,-0.37673311408977933,-0.23256658410633488,55
41550,안성시,경기도,0.3398823478944326,0.2893272331567731,0.019325610072345335,0.5729836824874835,0.32693825056099374,9.41200405514122,56
41500,이천시,경기도,0.3366235897268341,0.7636526238438874,0.07764390882508415,0.6033410177792998,-0.17382731802432677,7.057942513967158,57
41630,양주시,경기도,0.3275155975724169,-0.12062710439617852,0.030895165933925182,0.9222286357625251,0.042570583258634276,42.1759743796438,58
50110,제주시,제주특별자치도,0.321469500186701,0.6639859723991344,0.03147849643664163,-0.19814864753685385,1.146080203514305,4.232753288801359,59
41410,군포시,경기도,0.31568459961962836,0.08286867969877831,0.3593092414200346,0.6911681667005252,-0.1300183773873045,-14.866782660385399,60
31110,중구,울산광역시,0.31449003464586633,1.374389835501355,0.2076358624695371,-0.135467287510923,0.27315088817275457,-19.14734817260071,61
41310,구리시,경기도,0.3024119488450241,0.005969536127988055,0.2775054972718935,0.768725926104167,-0.16801122446478473,-4.4762584061123745,62
11320,도봉구,서울특별시,0.3006538076446778,-0.2729505149061206,0.7216073632204467,0.5711505100262779,-0.0739500835694172,-14.605579682393259,63
27110,중구,대구광역시,0.2849262522392765,1.374389835501355,0.2324901940768943,-0.08653703056598949,0.04319934501428401,26.085989495427107,64
27290,달서구,대구광역시,0.26992892561832527,0.2707738918507062,0.41366279469991313,0.5358675856253163,-0.28935004878331455,-14.857164899048787,65
29140,서구,광주광역시,0.2542519918972927,-0.728410392186932,0.28719513811321756,0.32006409656125245,0.9097472336577681,-12.039404178994825,66
51110,춘천시,강원특별자치도,0.2530993784608181,-0.15436149591320397,0.05753992192900301,0.46645363304508514,0.43652784547760254,4.398602677513547,67
11305,강북구,서울특별시,0.2516506610379667,-0.36030910736780497,0.6223029142297667,0.6713462364607867,-0.2776196102772858,-13.634590208211293,68
41210,광명시,경기도,0.247699007239913,0.1169843123840468,0.35791442477350627,0.49099500409808056,-0.13732026455063023,-25.826520321332524,69
51130,원주시,강원특별자치도,0.2419271195387585,0.02735112315374726,0.04274809746543837,0.49959771827271315,0.20389247615473122,9.453341132573206,70
43770,음성군,충청북도,0.2102717057586191,0.28560179596688384,-0.11281083215907528,0.3162642765159166,0.29835552287948525,-3.1773797297564492,71
29200,광산구,광주광역시,0.20943965640297518,0.22326705891692386,-0.047282518067156304,0.544228168409721,-0.07759727237543393,-5.307139444897458,72
41430,의왕시,경기도,0.20799055789754733,-0.02039268409316889,0.17785531439931343,0.7064436442031827,-0.362671854113055,-2.8685613288257126,73
44270,당진시,충청남도,0.20050932726277743,0.4420652881018728,-0.049542443157324666,0.4428515606075104,-0.1309918961764445,5.075824036718296,74
26110,중구,부산광역시,0.19995787344649646,1.374389835501355,0.019203303130875805,-0.614620626576187,0.7120302436344257,-13.137104685346134,75
28245,계양구,인천광역시,0.19182800667626698,-0.14409078014974597,0.3052838465474159,0.5366643367983819,-0.19084138159119718,-19.713388478169712,76
47190,구미시,경상북도,0.14570115091436509,0.5364601372187993,-0.09502094588610377,0.19516790458370153,-0.011683683102432497,-6.4851692887225605,77
44210,서산시,충청남도,0.139320297239524,0.24237244388827003,-0.022236958209173735,0.390221818051408,-0.18053045266419712,3.5199552924820727,78
48330,양산시,경상남도,0.13928018292973204,0.1392343011826483,0.0027077984235144865,0.3136647870280884,-0.0016122753569606293,13.990998527917949,79
41250,동두천시,경기도,0.09620936603929378,-0.8882278579320559,-0.006751157919991712,0.4744439911687203,0.39444663174531036,-9.13132755473665,80
26230,부산진구,부산광역시,0.0935826992906611,0.03980836164795165,0.638333769954369,0.03899215318255643,-0.30912448113781377,-2.5693763934011145,81
50130,서귀포시,제주특별자치도,0.08444427738694911,0.3678028906230109,-0.078066641231884,-0.5266825398984976,0.9761446665806228,10.22399281224058,82
41650,포천시,경기도,0.07893450038683086,0.07406139037343802,-0.03285217488913962,0.0691447384080317,0.20739691662352278,-6.19861404293157,83
27260,수성구,대구광역시,0.07248071935650095,0.006612636581900283,0.23117834676539012,0.3332041957357897,-0.4394931242798164,-8.784543629237833,84
47110,포항시,경상북도,0.07235123309967159,0.3696508072648934,-0.018250724187684864,-0.06310187921805133,0.13448500041763564,-4.624100561855863,85
30110,동구,대전광역시,0.06605277891748966,-0.49293478380770994,0.18081587587680548,0.18920424588396453,0.2103693897321669,-5.670683151567831,86
41670,여주시,경기도,0.06464331449322906,-0.13089204622564063,-0.09929377355046941,0.17686082180367463,0.205637639945502,8.045197660026027,87
43750,진천군,충청북도,0.06306947168922152,0.34086406499779076,-0.006614794026243926,0.14025458791681028,-0.21395082618477995,26.839897736951453,88
28720,옹진군,인천광역시,0.05965286091539894,-0.23326195370378894,-0.0973101986407174,0.1422485831422981,0.3188297978790179,-2.4444168792270924,89
28140,동구,인천광역시,0.043220281930759066,-0.49293478380770994,-0.062224938114616594,0.18699690798468072,0.35171279836848207,-19.216418605699587,90
30230,대덕구,대전광역시,0.03345024110670392,-0.25256328959055097,0.15305888797638947,0.1316822215177509,-0.0075495610256759976,-15.571799029607257,91
29170,북구,광주광역시,0.030562485919400244,-0.5318462523834598,0.2470269359367395,0.348126836641391,-0.22743207691824538,-4.307257020921622,92
46110,목포시,전라남도,0.015934932070643993,-0.3361066007147715,0.1660068052059497,-0.0779474318128316,0.3005091068276564,-12.56231828282009,93
27230,북구,대구광역시,0.01292802879260093,-0.5318462523834598,0.22655054536485475,0.41867039086994207,-0.3951753076375575,-7.308738846318626,94
41820,가평군,경기도,0.012198602273229033,-0.3795290919567168,-0.21765094611532348,0.3843009119231572,-0.0332387276179307,7.560015047992623,95
27140,동구,대구광역시,0.011966718762945895,-0.49293478380770994,0.22021513308929958,0.2867842525578822,-0.2170750408190637,-1.0109208733636215,96
26440,강서구,부산광역시,0.0010924897827932142,0.34166497140926616,-0.006382414075797418,0.13882293903962842,-0.4824344805636409,27.641064759654082,97
46150,순천시,전라남도,-0.0021684019803263153,-0.04438406453276125,0.038349043577276025,-0.155629135163417,0.23362328764047585,-0.16898130819980378,98
27710,달성군,대구광역시,-0.008265025950860231,0.17201910374316584,-1.3586455445959919e-05,0.33762640465291105,-0.70548734976318,16.288577298797097,99
52140,익산시,전북특별자치도,-0.010768569627099737,-0.3593884062096231,0.008580920765430692,-0.16928637808466546,0.5003380668989876,-10.333779915861,100
26350,해운대구,부산광역시,-0.011976550210722726,0.09295773087814549,0.31680197788572323,-0.046355604822586244,-0.36339023416402183,-11.506623665118571,101
31710,울주군,울산광역시,-0.0123653521871599,0.23851032953372575,-0.012905586570000393,0.07041739392194166,-0.34402444083090317,0.10237693099576109,102
